Filename	2-chloro-3-nitrobenzoic acid
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	
rundate	5/21/2019
Sample name	2-chloro-3-nitrobenzoic acid
proceduresegments	Ramp 10 °C/min to 210.00 °C
[step]
Ramp 10 °C/min to 210.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.262	
0.0100000	30.265	
0.0116667	30.267	
0.0133333	30.271	
0.0150000	30.274	
0.0166667	30.277	
0.0183333	30.281	
0.0200000	30.285	
0.0216667	30.289	
0.0233333	30.291	
0.0250000	30.295	
0.0266667	30.298	
0.0283333	30.301	
0.0300000	30.304	
0.0316667	30.307	
0.0333333	30.311	
0.0350000	30.314	
0.0366667	30.318	
0.0383333	30.322	
0.0400000	30.325	
0.0416667	30.329	
0.0433333	30.332	
0.0450000	30.336	
0.0466667	30.341	
0.0483333	30.344	
0.0500000	30.348	
0.0516667	30.352	
0.0533333	30.356	
0.0550000	30.361	
0.0566667	30.365	
0.0583333	30.370	-0.399861
0.0600000	30.376	-0.399704
0.0616667	30.381	-0.398473
0.0633333	30.385	-0.395129
0.0650000	30.390	-0.389699
0.0666667	30.395	-0.382554
0.0683333	30.401	-0.376048
0.0700000	30.406	-0.370326
0.0716667	30.412	-0.365932
0.0733333	30.419	-0.361956
0.0750000	30.423	-0.358309
0.0766667	30.430	-0.354567
0.0783333	30.437	-0.351366
0.0800000	30.444	-0.347959
0.0816667	30.450	-0.344641
0.0833333	30.458	-0.341809
0.0850000	30.464	-0.338503
0.0866667	30.472	-0.336028
0.0883333	30.479	-0.333112
0.0900000	30.486	-0.330257
0.0916667	30.496	-0.327585
0.0933333	30.503	-0.325170
0.0950000	30.512	-0.321568
0.0966667	30.519	-0.318689
0.0983333	30.528	-0.316320
0.100000	30.537	-0.313574
0.101667	30.546	-0.311537
0.103333	30.555	-0.309439
0.105000	30.565	-0.308104
0.106667	30.575	-0.306366
0.108333	30.584	-0.305441
0.110000	30.594	-0.303085
0.111667	30.603	-0.301428
0.113333	30.613	-0.299467
0.115000	30.624	-0.297329
0.116667	30.635	-0.295306
0.118333	30.643	-0.293040
0.120000	30.656	-0.290942
0.121667	30.666	-0.289157
0.123333	30.676	-0.287456
0.125000	30.688	-0.286011
0.126667	30.699	-0.285922
0.128333	30.710	-0.284670
0.130000	30.722	-0.282920
0.131667	30.733	-0.281821
0.133333	30.744	-0.280334
0.135000	30.755	-0.279255
0.136667	30.767	-0.277871
0.138333	30.779	-0.276959
0.140000	30.791	-0.275064
0.141667	30.803	-0.274364
0.143333	30.815	-0.273103
0.145000	30.827	-0.272358
0.146667	30.839	-0.271126
0.148333	30.851	-0.269870
0.150000	30.863	-0.268875
0.151667	30.875	-0.268150
0.153333	30.887	-0.266639
0.155000	30.900	-0.265253
0.156667	30.913	-0.264421
0.158333	30.926	-0.263202
0.160000	30.938	-0.262496
0.161667	30.951	-0.261629
0.163333	30.963	-0.260514
0.165000	30.976	-0.259091
0.166667	30.990	-0.258059
0.168333	31.002	-0.257440
0.170000	31.014	-0.256922
0.171667	31.027	-0.256223
0.173333	31.039	-0.256019
0.175000	31.052	-0.255613
0.176667	31.066	-0.255202
0.178333	31.078	-0.255098
0.180000	31.091	-0.254862
0.181667	31.105	-0.254373
0.183333	31.117	-0.253170
0.185000	31.131	-0.251934
0.186667	31.143	-0.250946
0.188333	31.157	-0.249527
0.190000	31.171	-0.248647
0.191667	31.183	-0.247971
0.193333	31.196	-0.247223
0.195000	31.210	-0.246578
0.196667	31.223	-0.245540
0.198333	31.236	-0.244970
0.200000	31.249	-0.244522
0.201667	31.263	-0.244109
0.203333	31.275	-0.243520
0.205000	31.288	-0.242668
0.206667	31.301	-0.242001
0.208333	31.315	-0.241401
0.210000	31.330	-0.241051
0.211667	31.343	-0.240837
0.213333	31.357	-0.240206
0.215000	31.370	-0.239532
0.216667	31.383	-0.238889
0.218333	31.397	-0.238363
0.220000	31.411	-0.238156
0.221667	31.425	-0.237926
0.223333	31.439	-0.237579
0.225000	31.452	-0.237249
0.226667	31.466	-0.237018
0.228333	31.481	-0.237003
0.230000	31.494	-0.237019
0.231667	31.508	-0.236947
0.233333	31.523	-0.236785
0.235000	31.535	-0.236332
0.236667	31.550	-0.235871
0.238333	31.564	-0.235229
0.240000	31.578	-0.234565
0.241667	31.592	-0.233985
0.243333	31.605	-0.233413
0.245000	31.620	-0.232855
