Filename	2-chloro-5-nitrobenzaldehyde
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	2-chloro-5-nitrobenzaldehyde
proceduresegments	Ramp 10 °C/min to 100.00 °C
[step]
Ramp 10 °C/min to 100.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.391	
0.0100000	30.393	
0.0116667	30.394	
0.0133333	30.398	
0.0150000	30.400	
0.0166667	30.403	
0.0183333	30.405	
0.0200000	30.406	
0.0216667	30.408	
0.0233333	30.409	
0.0250000	30.412	
0.0266667	30.415	
0.0283333	30.417	
0.0300000	30.419	
0.0316667	30.422	
0.0333333	30.425	
0.0350000	30.427	
0.0366667	30.430	
0.0383333	30.432	
0.0400000	30.435	
0.0416667	30.437	
0.0433333	30.440	
0.0450000	30.442	
0.0466667	30.445	
0.0483333	30.449	
0.0500000	30.452	
0.0516667	30.455	
0.0533333	30.458	
0.0550000	30.463	
0.0566667	30.466	
0.0583333	30.470	-0.405097
0.0600000	30.474	-0.405065
0.0616667	30.479	-0.404848
0.0633333	30.482	-0.404046
0.0650000	30.488	-0.402371
0.0666667	30.492	-0.399817
0.0683333	30.497	-0.396392
0.0700000	30.502	-0.391953
0.0716667	30.508	-0.387100
0.0733333	30.512	-0.382257
0.0750000	30.518	-0.377736
0.0766667	30.525	-0.373615
0.0783333	30.530	-0.370076
0.0800000	30.538	-0.367136
0.0816667	30.544	-0.364685
0.0833333	30.550	-0.362671
0.0850000	30.557	-0.361371
0.0866667	30.564	-0.359761
0.0883333	30.571	-0.357675
0.0900000	30.579	-0.355834
0.0916667	30.586	-0.354570
0.0933333	30.594	-0.353374
0.0950000	30.603	-0.351885
0.0966667	30.610	-0.350266
0.0983333	30.619	-0.349113
0.100000	30.628	-0.348364
0.101667	30.637	-0.347505
0.103333	30.646	-0.346888
0.105000	30.655	-0.346221
0.106667	30.664	-0.345155
0.108333	30.674	-0.344356
0.110000	30.683	-0.343377
0.111667	30.693	-0.342364
0.113333	30.703	-0.341533
0.115000	30.713	-0.340957
0.116667	30.724	-0.340495
0.118333	30.735	-0.340014
0.120000	30.745	-0.339724
0.121667	30.755	-0.339699
0.123333	30.767	-0.339853
0.125000	30.776	-0.339768
0.126667	30.789	-0.339715
0.128333	30.799	-0.339503
0.130000	30.811	-0.339135
0.131667	30.822	-0.338806
0.133333	30.833	-0.338590
0.135000	30.844	-0.338405
0.136667	30.857	-0.338257
0.138333	30.870	-0.338128
0.140000	30.880	-0.338047
0.141667	30.893	-0.337950
0.143333	30.905	-0.337826
0.145000	30.917	-0.337701
0.146667	30.930	-0.337531
0.148333	30.942	-0.337200
0.150000	30.953	-0.336714
0.151667	30.966	-0.336019
0.153333	30.979	-0.335403
0.155000	30.992	-0.334586
0.156667	31.005	-0.333939
0.158333	31.017	-0.333221
0.160000	31.029	-0.332616
0.161667	31.042	-0.332051
0.163333	31.054	-0.331476
0.165000	31.067	-0.330975
0.166667	31.080	-0.330638
0.168333	31.093	-0.330287
0.170000	31.106	-0.329953
0.171667	31.119	-0.329711
0.173333	31.132	-0.329554
0.175000	31.144	-0.329389
0.176667	31.158	-0.329235
0.178333	31.172	-0.329051
0.180000	31.184	-0.328639
0.181667	31.196	-0.327901
0.183333	31.210	-0.327033
0.185000	31.224	-0.326363
0.186667	31.236	-0.325669
0.188333	31.250	-0.324986
0.190000	31.263	-0.324407
0.191667	31.276	-0.323964
0.193333	31.290	-0.323605
0.195000	31.302	-0.323254
0.196667	31.316	-0.322933
0.198333	31.330	-0.322637
0.200000	31.342	-0.322208
0.201667	31.356	-0.321492
0.203333	31.369	-0.320817
0.205000	31.383	-0.320107
0.206667	31.397	-0.319060
0.208333	31.411	-0.317959
0.210000	31.424	-0.316743
0.211667	31.437	-0.315612
0.213333	31.451	-0.314723
0.215000	31.464	-0.314096
0.216667	31.478	-0.313511
0.218333	31.491	-0.313087
0.220000	31.505	-0.312860
0.221667	31.519	-0.312776
0.223333	31.534	-0.312599
0.225000	31.547	-0.312373
0.226667	31.561	-0.312111
0.228333	31.575	-0.311856
0.230000	31.588	-0.311678
0.231667	31.603	-0.311354
0.233333	31.617	-0.310991
0.235000	31.631	-0.310524
0.236667	31.645	-0.309919
0.238333	31.657	-0.309560
0.240000	31.673	-0.309357
0.241667	31.687	-0.309011
0.243333	31.700	-0.308608
