Filename	2-hydroxy-5-nitrobenzoic acid
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	
rundate	5/21/2019
Sample name	2-hydroxy-5-nitrobenzoic acid
proceduresegments	Ramp 10 °C/min to 250.00 °C
[step]
Ramp 10 °C/min to 250.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.246	
0.0100000	30.248	
0.0116667	30.253	
0.0133333	30.256	
0.0150000	30.259	
0.0166667	30.262	
0.0183333	30.266	
0.0200000	30.268	
0.0216667	30.272	
0.0233333	30.275	
0.0250000	30.278	
0.0266667	30.281	
0.0283333	30.286	
0.0300000	30.289	
0.0316667	30.294	
0.0333333	30.296	
0.0350000	30.300	
0.0366667	30.304	
0.0383333	30.308	
0.0400000	30.312	
0.0416667	30.315	
0.0433333	30.318	
0.0450000	30.321	
0.0466667	30.327	
0.0483333	30.330	
0.0500000	30.333	
0.0516667	30.338	
0.0533333	30.343	
0.0550000	30.347	
0.0566667	30.351	
0.0583333	30.356	-0.411863
0.0600000	30.361	-0.411758
0.0616667	30.366	-0.410953
0.0633333	30.371	-0.408706
0.0650000	30.376	-0.404899
0.0666667	30.381	-0.400133
0.0683333	30.387	-0.394612
0.0700000	30.391	-0.389210
0.0716667	30.398	-0.383400
0.0733333	30.403	-0.378940
0.0750000	30.410	-0.375635
0.0766667	30.417	-0.373274
0.0783333	30.422	-0.370579
0.0800000	30.430	-0.367890
0.0816667	30.435	-0.365659
0.0833333	30.443	-0.363729
0.0850000	30.451	-0.362546
0.0866667	30.458	-0.361117
0.0883333	30.464	-0.359600
0.0900000	30.472	-0.357907
0.0916667	30.479	-0.356027
0.0933333	30.489	-0.354381
0.0950000	30.497	-0.352896
0.0966667	30.505	-0.351694
0.0983333	30.514	-0.351095
0.100000	30.521	-0.350117
0.101667	30.530	-0.349906
0.103333	30.540	-0.349389
0.105000	30.549	-0.348615
0.106667	30.560	-0.348438
0.108333	30.568	-0.348096
0.110000	30.578	-0.347568
0.111667	30.588	-0.346900
0.113333	30.598	-0.345918
0.115000	30.608	-0.345280
0.116667	30.618	-0.344899
0.118333	30.628	-0.344151
0.120000	30.639	-0.343560
0.121667	30.649	-0.343279
0.123333	30.660	-0.342868
0.125000	30.671	-0.342213
0.126667	30.683	-0.341575
0.128333	30.693	-0.340841
0.130000	30.705	-0.340372
0.131667	30.716	-0.339794
0.133333	30.727	-0.339418
0.135000	30.738	-0.338841
0.136667	30.749	-0.338373
0.138333	30.762	-0.337789
0.140000	30.773	-0.337264
0.141667	30.784	-0.337069
0.143333	30.796	-0.336701
0.145000	30.808	-0.336244
0.146667	30.821	-0.336003
0.148333	30.832	-0.335896
0.150000	30.845	-0.335728
0.151667	30.856	-0.335643
0.153333	30.869	-0.335458
0.155000	30.882	-0.335154
0.156667	30.895	-0.334737
0.158333	30.908	-0.334259
0.160000	30.920	-0.333584
0.161667	30.932	-0.332686
0.163333	30.945	-0.331220
0.165000	30.957	-0.329512
0.166667	30.971	-0.327249
0.168333	30.983	-0.325194
0.170000	30.995	-0.323239
0.171667	31.008	-0.321712
0.173333	31.021	-0.320439
0.175000	31.034	-0.319240
0.176667	31.046	-0.318462
0.178333	31.059	-0.317682
0.180000	31.072	-0.317063
0.181667	31.085	-0.316525
0.183333	31.098	-0.315948
0.185000	31.112	-0.314741
0.186667	31.125	-0.313661
0.188333	31.137	-0.312668
0.190000	31.151	-0.311552
0.191667	31.164	-0.310734
0.193333	31.178	-0.309652
0.195000	31.191	-0.308574
0.196667	31.205	-0.307503
0.198333	31.217	-0.306442
0.200000	31.230	-0.306039
0.201667	31.244	-0.305391
0.203333	31.258	-0.304147
0.205000	31.271	-0.303162
0.206667	31.284	-0.301997
0.208333	31.298	-0.300611
0.210000	31.311	-0.299314
0.211667	31.325	-0.297904
0.213333	31.339	-0.297017
0.215000	31.352	-0.296421
0.216667	31.366	-0.295615
0.218333	31.380	-0.295275
0.220000	31.394	-0.294560
0.221667	31.408	-0.293535
0.223333	31.422	-0.292496
0.225000	31.434	-0.291493
0.226667	31.449	-0.290853
0.228333	31.462	-0.290102
0.230000	31.476	-0.288987
0.231667	31.490	-0.288008
0.233333	31.505	-0.287201
0.235000	31.518	-0.286709
0.236667	31.533	-0.286327
0.238333	31.546	-0.285569
0.240000	31.559	-0.284654
0.241667	31.575	-0.283602
0.243333	31.589	-0.282576
0.245000	31.603	-0.281937
