Filename	2-nitrobenzoic acid 
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	2-nitrobenzoic acid 
proceduresegments	Ramp 10 °C/min to 350.00 °C
[step]
Ramp 10 °C/min to 350.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	29.784	
0.0100000	29.787	
0.0116667	29.787	
0.0133333	29.790	
0.0150000	29.792	
0.0166667	29.793	
0.0183333	29.796	
0.0200000	29.797	
0.0216667	29.798	
0.0233333	29.801	
0.0250000	29.802	
0.0266667	29.804	
0.0283333	29.805	
0.0300000	29.807	
0.0316667	29.808	
0.0333333	29.810	
0.0350000	29.811	
0.0366667	29.813	
0.0383333	29.816	
0.0400000	29.818	
0.0416667	29.819	
0.0433333	29.821	
0.0450000	29.825	
0.0466667	29.826	
0.0483333	29.829	
0.0500000	29.832	
0.0516667	29.834	
0.0533333	29.837	
0.0550000	29.841	
0.0566667	29.844	
0.0583333	29.848	-0.469165
0.0600000	29.851	-0.469139
0.0616667	29.855	-0.468928
0.0633333	29.859	-0.468408
0.0650000	29.863	-0.467560
0.0666667	29.868	-0.466389
0.0683333	29.871	-0.464740
0.0700000	29.877	-0.462761
0.0716667	29.881	-0.460756
0.0733333	29.887	-0.458552
0.0750000	29.893	-0.456289
0.0766667	29.899	-0.454219
0.0783333	29.905	-0.452427
0.0800000	29.911	-0.450443
0.0816667	29.917	-0.448384
0.0833333	29.923	-0.446694
0.0850000	29.930	-0.445314
0.0866667	29.937	-0.443878
0.0883333	29.944	-0.442293
0.0900000	29.951	-0.441194
0.0916667	29.959	-0.440415
0.0933333	29.966	-0.439705
0.0950000	29.974	-0.439075
0.0966667	29.983	-0.438637
0.0983333	29.991	-0.438449
0.100000	30.000	-0.438368
0.101667	30.009	-0.438309
0.103333	30.018	-0.438334
0.105000	30.027	-0.438375
0.106667	30.037	-0.438443
0.108333	30.045	-0.438502
0.110000	30.056	-0.438783
0.111667	30.066	-0.439034
0.113333	30.076	-0.439254
0.115000	30.087	-0.439445
0.116667	30.097	-0.439614
0.118333	30.108	-0.439762
0.120000	30.117	-0.439896
0.121667	30.128	-0.440002
0.123333	30.140	-0.440101
0.125000	30.151	-0.440190
0.126667	30.161	-0.440277
0.128333	30.172	-0.440346
0.130000	30.185	-0.440418
0.131667	30.197	-0.440488
0.133333	30.207	-0.440548
0.135000	30.218	-0.440605
0.136667	30.231	-0.440658
0.138333	30.243	-0.440668
0.140000	30.255	-0.440679
0.141667	30.266	-0.440691
0.143333	30.279	-0.440700
0.145000	30.291	-0.440705
0.146667	30.303	-0.440712
0.148333	30.316	-0.440716
0.150000	30.328	-0.440712
0.151667	30.342	-0.440705
0.153333	30.353	-0.440699
0.155000	30.367	-0.440687
0.156667	30.379	-0.440672
0.158333	30.391	-0.440637
0.160000	30.405	-0.440608
0.161667	30.417	-0.440549
0.163333	30.429	-0.440365
0.165000	30.442	-0.440089
0.166667	30.456	-0.439578
0.168333	30.469	-0.439060
0.170000	30.481	-0.438575
0.171667	30.495	-0.438148
0.173333	30.508	-0.437812
0.175000	30.521	-0.437339
0.176667	30.535	-0.436699
0.178333	30.547	-0.436022
0.180000	30.561	-0.435280
0.181667	30.574	-0.434380
0.183333	30.587	-0.433215
0.185000	30.600	-0.431997
0.186667	30.614	-0.430933
0.188333	30.627	-0.429950
0.190000	30.640	-0.428857
0.191667	30.653	-0.427715
0.193333	30.667	-0.426482
0.195000	30.680	-0.425319
0.196667	30.694	-0.424333
0.198333	30.708	-0.423529
0.200000	30.722	-0.422873
0.201667	30.736	-0.421987
0.203333	30.749	-0.421330
0.205000	30.762	-0.420761
0.206667	30.776	-0.420160
0.208333	30.790	-0.419484
0.210000	30.803	-0.418618
0.211667	30.818	-0.417578
0.213333	30.832	-0.416405
0.215000	30.846	-0.415276
0.216667	30.860	-0.414486
0.218333	30.874	-0.413621
0.220000	30.887	-0.412624
0.221667	30.901	-0.411712
0.223333	30.915	-0.410848
0.225000	30.929	-0.410000
0.226667	30.943	-0.409214
0.228333	30.957	-0.408555
0.230000	30.970	-0.407930
0.231667	30.985	-0.407294
0.233333	30.999	-0.406586
0.235000	31.014	-0.405752
0.236667	31.027	-0.404609
0.238333	31.041	-0.403517
0.240000	31.056	-0.402576
0.241667	31.070	-0.402032
0.243333	31.085	-0.401608
0.245000	31.098	-0.401056
