Filename	2-nitrophenol
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	
rundate	5/21/2019
Sample name	2-nitrophenol
proceduresegments	Ramp 10 °C/min to 60.00 °C
[step]
Ramp 10 °C/min to 60.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.172	
0.0100000	30.176	
0.0116667	30.180	
0.0133333	30.184	
0.0150000	30.189	
0.0166667	30.192	
0.0183333	30.195	
0.0200000	30.198	
0.0216667	30.202	
0.0233333	30.207	
0.0250000	30.210	
0.0266667	30.214	
0.0283333	30.218	
0.0300000	30.222	
0.0316667	30.225	
0.0333333	30.230	
0.0350000	30.233	
0.0366667	30.238	
0.0383333	30.241	
0.0400000	30.244	
0.0416667	30.248	
0.0433333	30.253	
0.0450000	30.257	
0.0466667	30.262	
0.0483333	30.267	
0.0500000	30.271	
0.0516667	30.276	
0.0533333	30.279	
0.0550000	30.283	
0.0566667	30.289	
0.0583333	30.294	-0.237671
0.0600000	30.299	-0.237595
0.0616667	30.304	-0.237040
0.0633333	30.310	-0.235674
0.0650000	30.315	-0.233258
0.0666667	30.320	-0.230230
0.0683333	30.327	-0.227538
0.0700000	30.333	-0.225473
0.0716667	30.339	-0.223768
0.0733333	30.345	-0.222177
0.0750000	30.351	-0.220781
0.0766667	30.358	-0.219460
0.0783333	30.366	-0.218219
0.0800000	30.371	-0.216843
0.0816667	30.379	-0.215725
0.0833333	30.386	-0.214735
0.0850000	30.394	-0.213803
0.0866667	30.401	-0.212917
0.0883333	30.408	-0.211960
0.0900000	30.417	-0.211110
0.0916667	30.424	-0.210332
0.0933333	30.433	-0.209435
0.0950000	30.440	-0.208511
0.0966667	30.449	-0.207714
0.0983333	30.458	-0.207023
0.100000	30.468	-0.206494
0.101667	30.478	-0.206172
0.103333	30.486	-0.205968
0.105000	30.496	-0.205769
0.106667	30.506	-0.205450
0.108333	30.515	-0.205289
0.110000	30.525	-0.205007
0.111667	30.535	-0.204530
0.113333	30.545	-0.204129
0.115000	30.555	-0.203687
0.116667	30.565	-0.203249
0.118333	30.576	-0.202915
0.120000	30.586	-0.202737
0.121667	30.598	-0.202854
0.123333	30.609	-0.203042
0.125000	30.619	-0.203271
0.126667	30.631	-0.203101
0.128333	30.642	-0.202967
0.130000	30.654	-0.202795
0.131667	30.665	-0.202709
0.133333	30.676	-0.202645
0.135000	30.688	-0.202698
0.136667	30.699	-0.202677
0.138333	30.710	-0.202684
0.140000	30.723	-0.202633
0.141667	30.735	-0.202500
0.143333	30.747	-0.202409
0.145000	30.759	-0.202379
0.146667	30.771	-0.202322
0.148333	30.784	-0.202255
0.150000	30.797	-0.202208
0.151667	30.809	-0.202151
0.153333	30.821	-0.202161
0.155000	30.834	-0.202171
0.156667	30.845	-0.202196
0.158333	30.858	-0.202231
0.160000	30.870	-0.202246
0.161667	30.883	-0.202248
0.163333	30.896	-0.202239
0.165000	30.909	-0.202220
0.166667	30.922	-0.202195
0.168333	30.934	-0.202173
0.170000	30.947	-0.202150
0.171667	30.960	-0.202144
0.173333	30.973	-0.202148
0.175000	30.985	-0.202272
0.176667	30.998	-0.202348
0.178333	31.011	-0.202412
0.180000	31.024	-0.202467
0.181667	31.038	-0.202504
0.183333	31.051	-0.202513
0.185000	31.063	-0.202518
0.186667	31.077	-0.202517
0.188333	31.090	-0.202514
0.190000	31.103	-0.202504
0.191667	31.117	-0.202495
0.193333	31.129	-0.202487
0.195000	31.142	-0.202465
0.196667	31.155	-0.202434
0.198333	31.169	-0.202412
0.200000	31.182	-0.202403
0.201667	31.196	-0.202398
0.203333	31.209	-0.202392
0.205000	31.222	-0.202420
0.206667	31.236	-0.202447
0.208333	31.251	-0.202468
0.210000	31.264	-0.202499
0.211667	31.277	-0.202531
0.213333	31.291	-0.202547
0.215000	31.304	-0.202565
0.216667	31.318	-0.202590
0.218333	31.332	-0.202617
0.220000	31.344	-0.202657
0.221667	31.358	-0.202700
0.223333	31.372	-0.202778
0.225000	31.386	-0.202843
0.226667	31.400	-0.202876
0.228333	31.413	-0.202911
0.230000	31.428	-0.202955
0.231667	31.442	-0.202991
0.233333	31.457	-0.203023
0.235000	31.471	-0.203056
0.236667	31.484	-0.203079
0.238333	31.498	-0.203104
0.240000	31.512	-0.203134
0.241667	31.525	-0.203179
0.243333	31.540	-0.203230
0.245000	31.554	-0.203297
0.246667	31.568	-0.203392
