Filename	3-fluoro-4-nitrophenol
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	3-fluoro-4-nitrophenol
proceduresegments	Ramp 10 °C/min to 140.00 °C
[step]
Ramp 10 °C/min to 140.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.399	
0.0100000	30.401	
0.0116667	30.403	
0.0133333	30.405	
0.0150000	30.407	
0.0166667	30.410	
0.0183333	30.411	
0.0200000	30.413	
0.0216667	30.417	
0.0233333	30.418	
0.0250000	30.421	
0.0266667	30.423	
0.0283333	30.426	
0.0300000	30.428	
0.0316667	30.430	
0.0333333	30.433	
0.0350000	30.434	
0.0366667	30.437	
0.0383333	30.440	
0.0400000	30.443	
0.0416667	30.445	
0.0433333	30.447	
0.0450000	30.451	
0.0466667	30.455	
0.0483333	30.457	
0.0500000	30.459	
0.0516667	30.462	
0.0533333	30.465	
0.0550000	30.469	
0.0566667	30.473	
0.0583333	30.475	-0.384811
0.0600000	30.479	-0.384821
0.0616667	30.484	-0.384844
0.0633333	30.488	-0.384876
0.0650000	30.493	-0.385010
0.0666667	30.496	-0.385298
0.0683333	30.501	-0.385901
0.0700000	30.505	-0.386996
0.0716667	30.509	-0.388727
0.0733333	30.514	-0.391765
0.0750000	30.519	-0.396246
0.0766667	30.524	-0.403548
0.0783333	30.529	-0.413530
0.0800000	30.536	-0.425126
0.0816667	30.542	-0.437619
0.0833333	30.547	-0.446996
0.0850000	30.553	-0.456575
0.0866667	30.560	-0.465482
0.0883333	30.566	-0.473999
0.0900000	30.573	-0.481828
0.0916667	30.579	-0.490010
0.0933333	30.587	-0.497832
0.0950000	30.594	-0.507344
0.0966667	30.601	-0.516578
0.0983333	30.609	-0.525451
0.100000	30.616	-0.535777
0.101667	30.624	-0.545419
0.103333	30.632	-0.554495
0.105000	30.639	-0.564948
0.106667	30.648	-0.574887
0.108333	30.657	-0.584739
0.110000	30.665	-0.594416
0.111667	30.673	-0.603561
0.113333	30.683	-0.612578
0.115000	30.693	-0.621512
0.116667	30.702	-0.630833
0.118333	30.712	-0.639629
0.120000	30.722	-0.647206
0.121667	30.731	-0.653912
0.123333	30.742	-0.660517
0.125000	30.751	-0.667943
0.126667	30.761	-0.675966
0.128333	30.772	-0.684325
0.130000	30.781	-0.691728
0.131667	30.792	-0.699005
0.133333	30.803	-0.706194
0.135000	30.814	-0.712955
0.136667	30.824	-0.717680
0.138333	30.835	-0.722518
0.140000	30.846	-0.726853
0.141667	30.857	-0.730935
0.143333	30.869	-0.734508
0.145000	30.880	-0.738730
0.146667	30.891	-0.742424
0.148333	30.902	-0.746253
0.150000	30.914	-0.751015
0.151667	30.925	-0.755049
0.153333	30.937	-0.759133
0.155000	30.949	-0.762339
0.156667	30.961	-0.765728
0.158333	30.973	-0.766930
0.160000	30.986	-0.768486
0.161667	30.996	-0.769564
0.163333	31.009	-0.771598
0.165000	31.021	-0.771971
0.166667	31.033	-0.772569
0.168333	31.045	-0.773632
0.170000	31.058	-0.773449
0.171667	31.071	-0.772599
0.173333	31.083	-0.773988
0.175000	31.096	-0.773676
0.176667	31.108	-0.772666
0.178333	31.120	-0.772163
0.180000	31.133	-0.771735
0.181667	31.146	-0.771475
0.183333	31.158	-0.771999
0.185000	31.171	-0.772295
0.186667	31.184	-0.771862
0.188333	31.197	-0.771473
0.190000	31.209	-0.770947
0.191667	31.223	-0.770642
0.193333	31.236	-0.769434
0.195000	31.249	-0.765467
0.196667	31.262	-0.764303
0.198333	31.275	-0.763144
0.200000	31.287	-0.761779
0.201667	31.302	-0.760031
0.203333	31.314	-0.758411
0.205000	31.327	-0.756861
0.206667	31.340	-0.755487
0.208333	31.354	-0.754496
0.210000	31.367	-0.753894
0.211667	31.382	-0.752297
0.213333	31.394	-0.751098
0.215000	31.408	-0.750223
0.216667	31.422	-0.749094
0.218333	31.434	-0.748449
0.220000	31.449	-0.747275
0.221667	31.463	-0.746150
0.223333	31.477	-0.745270
0.225000	31.489	-0.744270
0.226667	31.502	-0.742756
0.228333	31.517	-0.741534
0.230000	31.531	-0.739850
0.231667	31.545	-0.738211
0.233333	31.558	-0.736759
0.235000	31.573	-0.735328
0.236667	31.587	-0.733856
0.238333	31.601	-0.732536
0.240000	31.615	-0.731066
0.241667	31.629	-0.730164
0.243333	31.642	-0.729594
0.245000	31.657	-0.728801
