Filename	3-methyl-2-nitrophenol
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	3-methyl-2-nitrophenol
proceduresegments	Ramp 10 °C/min to 60.00 °C
[step]
Ramp 10 °C/min to 60.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.330	
0.0100000	30.334	
0.0116667	30.337	
0.0133333	30.340	
0.0150000	30.342	
0.0166667	30.344	
0.0183333	30.347	
0.0200000	30.349	
0.0216667	30.352	
0.0233333	30.355	
0.0250000	30.357	
0.0266667	30.361	
0.0283333	30.364	
0.0300000	30.366	
0.0316667	30.370	
0.0333333	30.373	
0.0350000	30.376	
0.0366667	30.379	
0.0383333	30.382	
0.0400000	30.386	
0.0416667	30.389	
0.0433333	30.392	
0.0450000	30.395	
0.0466667	30.398	
0.0483333	30.402	
0.0500000	30.405	
0.0516667	30.409	
0.0533333	30.413	
0.0550000	30.416	
0.0566667	30.420	
0.0583333	30.424	-0.226163
0.0600000	30.428	-0.226155
0.0616667	30.433	-0.226140
0.0633333	30.438	-0.226072
0.0650000	30.441	-0.225928
0.0666667	30.447	-0.225678
0.0683333	30.452	-0.225349
0.0700000	30.457	-0.224869
0.0716667	30.460	-0.224424
0.0733333	30.466	-0.224019
0.0750000	30.471	-0.223686
0.0766667	30.477	-0.223520
0.0783333	30.483	-0.223451
0.0800000	30.489	-0.223435
0.0816667	30.497	-0.223432
0.0833333	30.502	-0.223434
0.0850000	30.509	-0.223441
0.0866667	30.515	-0.223453
0.0883333	30.522	-0.223476
0.0900000	30.529	-0.223551
0.0916667	30.537	-0.223719
0.0933333	30.543	-0.224011
0.0950000	30.552	-0.224607
0.0966667	30.561	-0.225579
0.0983333	30.568	-0.227028
0.100000	30.577	-0.229144
0.101667	30.585	-0.231536
0.103333	30.593	-0.234104
0.105000	30.602	-0.236082
0.106667	30.610	-0.238079
0.108333	30.619	-0.240152
0.110000	30.629	-0.242395
0.111667	30.638	-0.244388
0.113333	30.647	-0.245985
0.115000	30.657	-0.247466
0.116667	30.667	-0.248863
0.118333	30.678	-0.250951
0.120000	30.687	-0.252424
0.121667	30.698	-0.254346
0.123333	30.707	-0.255578
0.125000	30.718	-0.256945
0.126667	30.728	-0.258231
0.128333	30.738	-0.259729
0.130000	30.750	-0.261037
0.131667	30.760	-0.262352
0.133333	30.771	-0.263556
0.135000	30.782	-0.264794
0.136667	30.793	-0.265948
0.138333	30.805	-0.266751
0.140000	30.816	-0.267573
0.141667	30.827	-0.268552
0.143333	30.839	-0.269407
0.145000	30.849	-0.269901
0.146667	30.861	-0.270832
0.148333	30.873	-0.271649
0.150000	30.887	-0.272376
0.151667	30.898	-0.273275
0.153333	30.910	-0.274095
0.155000	30.923	-0.274700
0.156667	30.935	-0.275294
0.158333	30.947	-0.275599
0.160000	30.959	-0.276078
0.161667	30.971	-0.276875
0.163333	30.984	-0.277130
0.165000	30.996	-0.277779
0.166667	31.007	-0.278021
0.168333	31.020	-0.278338
0.170000	31.032	-0.278385
0.171667	31.045	-0.278497
0.173333	31.058	-0.278635
0.175000	31.070	-0.278551
0.176667	31.083	-0.278559
0.178333	31.095	-0.278478
0.180000	31.108	-0.278542
0.181667	31.121	-0.278709
0.183333	31.134	-0.278800
0.185000	31.147	-0.278724
0.186667	31.160	-0.278843
0.188333	31.172	-0.279084
0.190000	31.186	-0.279272
0.191667	31.199	-0.279538
0.193333	31.211	-0.279697
0.195000	31.224	-0.279773
0.196667	31.237	-0.279756
0.198333	31.250	-0.279713
0.200000	31.263	-0.279666
0.201667	31.276	-0.279617
0.203333	31.288	-0.279565
0.205000	31.302	-0.279527
0.206667	31.315	-0.279528
0.208333	31.329	-0.279610
0.210000	31.342	-0.279696
0.211667	31.356	-0.279811
0.213333	31.369	-0.279934
0.215000	31.383	-0.279995
0.216667	31.395	-0.280046
0.218333	31.409	-0.280091
0.220000	31.423	-0.280140
0.221667	31.436	-0.280158
0.223333	31.449	-0.280210
0.225000	31.463	-0.280263
0.226667	31.477	-0.280331
0.228333	31.490	-0.280434
0.230000	31.503	-0.280557
0.231667	31.517	-0.280682
0.233333	31.530	-0.280783
0.235000	31.544	-0.280882
0.236667	31.559	-0.280955
0.238333	31.571	-0.281054
0.240000	31.585	-0.281201
0.241667	31.599	-0.281373
0.243333	31.613	-0.281631
0.245000	31.628	-0.281923
