Filename	3-nitrobenzoic acid
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	
rundate	5/21/2019
Sample name	3-nitrobenzoic acid
proceduresegments	Ramp 10 °C/min to 160.00 °C
[step]
Ramp 10 °C/min to 160.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	29.581	
0.0100000	29.584	
0.0116667	29.588	
0.0133333	29.591	
0.0150000	29.594	
0.0166667	29.597	
0.0183333	29.601	
0.0200000	29.604	
0.0216667	29.608	
0.0233333	29.611	
0.0250000	29.614	
0.0266667	29.617	
0.0283333	29.621	
0.0300000	29.624	
0.0316667	29.627	
0.0333333	29.630	
0.0350000	29.633	
0.0366667	29.637	
0.0383333	29.640	
0.0400000	29.644	
0.0416667	29.647	
0.0433333	29.651	
0.0450000	29.655	
0.0466667	29.659	
0.0483333	29.662	
0.0500000	29.667	
0.0516667	29.671	
0.0533333	29.675	
0.0550000	29.680	
0.0566667	29.685	
0.0583333	29.690	-0.286835
0.0600000	29.696	-0.286402
0.0616667	29.702	-0.282865
0.0633333	29.706	-0.275727
0.0650000	29.711	-0.271876
0.0666667	29.718	-0.268268
0.0683333	29.724	-0.264741
0.0700000	29.731	-0.260753
0.0716667	29.737	-0.256970
0.0733333	29.744	-0.253091
0.0750000	29.751	-0.249039
0.0766667	29.759	-0.245231
0.0783333	29.767	-0.241540
0.0800000	29.774	-0.237778
0.0816667	29.782	-0.234065
0.0833333	29.791	-0.230394
0.0850000	29.800	-0.226695
0.0866667	29.809	-0.223099
0.0883333	29.817	-0.219378
0.0900000	29.827	-0.215717
0.0916667	29.837	-0.212023
0.0933333	29.847	-0.208264
0.0950000	29.856	-0.204919
0.0966667	29.866	-0.201307
0.0983333	29.876	-0.197862
0.100000	29.887	-0.194948
0.101667	29.898	-0.191641
0.103333	29.909	-0.188671
0.105000	29.920	-0.185575
0.106667	29.930	-0.182559
0.108333	29.942	-0.179365
0.110000	29.953	-0.176271
0.111667	29.965	-0.173279
0.113333	29.977	-0.170511
0.115000	29.989	-0.167752
0.116667	30.001	-0.164917
0.118333	30.012	-0.162293
0.120000	30.025	-0.159641
0.121667	30.038	-0.157092
0.123333	30.050	-0.154415
0.125000	30.063	-0.151890
0.126667	30.075	-0.149483
0.128333	30.088	-0.147024
0.130000	30.101	-0.144521
0.131667	30.113	-0.142428
0.133333	30.127	-0.140483
0.135000	30.141	-0.138723
0.136667	30.153	-0.136825
0.138333	30.167	-0.135069
0.140000	30.180	-0.133338
0.141667	30.193	-0.131509
0.143333	30.207	-0.129634
0.145000	30.221	-0.128119
0.146667	30.236	-0.126490
0.148333	30.249	-0.124701
0.150000	30.262	-0.123008
0.151667	30.275	-0.121543
0.153333	30.290	-0.119999
0.155000	30.303	-0.118899
0.156667	30.317	-0.117957
0.158333	30.331	-0.116968
0.160000	30.345	-0.115972
0.161667	30.358	-0.115129
0.163333	30.372	-0.114333
0.165000	30.386	-0.113662
0.166667	30.400	-0.112707
0.168333	30.413	-0.111806
0.170000	30.427	-0.110654
0.171667	30.441	-0.109721
0.173333	30.455	-0.108972
0.175000	30.468	-0.108487
0.176667	30.483	-0.107842
0.178333	30.497	-0.107321
0.180000	30.510	-0.106763
0.181667	30.525	-0.106356
0.183333	30.539	-0.106145
0.185000	30.553	-0.106037
0.186667	30.566	-0.105575
0.188333	30.581	-0.104924
0.190000	30.595	-0.104502
0.191667	30.609	-0.104123
0.193333	30.623	-0.103704
0.195000	30.637	-0.103041
0.196667	30.651	-0.102885
0.198333	30.665	-0.102826
0.200000	30.679	-0.102465
0.201667	30.694	-0.101982
0.203333	30.709	-0.101966
0.205000	30.722	-0.101892
0.206667	30.736	-0.101802
0.208333	30.752	-0.101784
0.210000	30.766	-0.101842
0.211667	30.780	-0.101877
0.213333	30.795	-0.101406
0.215000	30.809	-0.101335
0.216667	30.822	-0.101322
0.218333	30.837	-0.101257
0.220000	30.850	-0.101216
0.221667	30.865	-0.100984
0.223333	30.879	-0.100959
0.225000	30.893	-0.100900
0.226667	30.908	-0.100800
0.228333	30.923	-0.100766
0.230000	30.938	-0.100733
0.231667	30.951	-0.100762
0.233333	30.966	-0.100793
0.235000	30.981	-0.100788
0.236667	30.996	-0.100758
0.238333	31.010	-0.100825
0.240000	31.025	-0.100806
0.241667	31.039	-0.100798
0.243333	31.054	-0.100831
0.245000	31.069	-0.100872
0.246667	31.084	-0.100934
