Filename	4-amino-2-nitrophenol
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	4-amino-2-nitrophenol
proceduresegments	Ramp 10 °C/min to 140.00 °C
[step]
Ramp 10 °C/min to 140.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.392	
0.0100000	30.395	
0.0116667	30.397	
0.0133333	30.398	
0.0150000	30.400	
0.0166667	30.402	
0.0183333	30.405	
0.0200000	30.407	
0.0216667	30.409	
0.0233333	30.411	
0.0250000	30.414	
0.0266667	30.415	
0.0283333	30.418	
0.0300000	30.421	
0.0316667	30.424	
0.0333333	30.426	
0.0350000	30.429	
0.0366667	30.431	
0.0383333	30.433	
0.0400000	30.436	
0.0416667	30.439	
0.0433333	30.441	
0.0450000	30.444	
0.0466667	30.447	
0.0483333	30.450	
0.0500000	30.453	
0.0516667	30.456	
0.0533333	30.459	
0.0550000	30.463	
0.0566667	30.467	
0.0583333	30.469	-0.512773
0.0600000	30.474	-0.512764
0.0616667	30.478	-0.512759
0.0633333	30.482	-0.512751
0.0650000	30.486	-0.512739
0.0666667	30.490	-0.512742
0.0683333	30.496	-0.512766
0.0700000	30.500	-0.512802
0.0716667	30.505	-0.512863
0.0733333	30.510	-0.513024
0.0750000	30.515	-0.513580
0.0766667	30.520	-0.514867
0.0783333	30.525	-0.517551
0.0800000	30.531	-0.521741
0.0816667	30.538	-0.528376
0.0833333	30.543	-0.536403
0.0850000	30.549	-0.547140
0.0866667	30.556	-0.560334
0.0883333	30.563	-0.574157
0.0900000	30.569	-0.587416
0.0916667	30.577	-0.598473
0.0933333	30.585	-0.607281
0.0950000	30.592	-0.616764
0.0966667	30.600	-0.626274
0.0983333	30.608	-0.634024
0.100000	30.615	-0.642998
0.101667	30.622	-0.652359
0.103333	30.632	-0.660426
0.105000	30.639	-0.672098
0.106667	30.649	-0.683814
0.108333	30.657	-0.694554
0.110000	30.665	-0.704611
0.111667	30.675	-0.715436
0.113333	30.684	-0.724835
0.115000	30.695	-0.734391
0.116667	30.704	-0.743291
0.118333	30.714	-0.751607
0.120000	30.723	-0.758539
0.121667	30.734	-0.767770
0.123333	30.745	-0.775389
0.125000	30.754	-0.783002
0.126667	30.765	-0.790237
0.128333	30.775	-0.797731
0.130000	30.786	-0.804678
0.131667	30.796	-0.813027
0.133333	30.807	-0.819794
0.135000	30.819	-0.827995
0.136667	30.829	-0.836290
0.138333	30.840	-0.841365
0.140000	30.851	-0.846543
0.141667	30.863	-0.851649
0.143333	30.875	-0.858103
0.145000	30.886	-0.865629
0.146667	30.898	-0.870956
0.148333	30.909	-0.874423
0.150000	30.920	-0.876359
0.151667	30.933	-0.881669
0.153333	30.944	-0.886041
0.155000	30.957	-0.887705
0.156667	30.969	-0.888774
0.158333	30.981	-0.888068
0.160000	30.993	-0.888091
0.161667	31.006	-0.889089
0.163333	31.019	-0.890508
0.165000	31.030	-0.891950
0.166667	31.042	-0.893811
0.168333	31.055	-0.893818
0.170000	31.067	-0.895087
0.171667	31.079	-0.896642
0.173333	31.092	-0.897442
0.175000	31.104	-0.897978
0.176667	31.117	-0.898605
0.178333	31.128	-0.898526
0.180000	31.142	-0.898637
0.181667	31.156	-0.898039
0.183333	31.168	-0.897422
0.185000	31.181	-0.896997
0.186667	31.194	-0.896519
0.188333	31.207	-0.895523
0.190000	31.220	-0.894401
0.191667	31.232	-0.893852
0.193333	31.246	-0.893052
0.195000	31.259	-0.892331
0.196667	31.272	-0.891936
0.198333	31.285	-0.891693
0.200000	31.299	-0.891488
0.201667	31.312	-0.891394
0.203333	31.324	-0.891237
0.205000	31.338	-0.889453
0.206667	31.352	-0.888528
0.208333	31.365	-0.886342
0.210000	31.377	-0.885063
0.211667	31.391	-0.883088
0.213333	31.405	-0.881653
0.215000	31.418	-0.880658
0.216667	31.432	-0.879430
0.218333	31.445	-0.878298
0.220000	31.459	-0.877477
0.221667	31.472	-0.876696
0.223333	31.486	-0.875843
0.225000	31.499	-0.874805
0.226667	31.514	-0.873754
0.228333	31.527	-0.872846
0.230000	31.541	-0.871603
0.231667	31.556	-0.870271
0.233333	31.569	-0.868948
0.235000	31.582	-0.867715
0.236667	31.595	-0.866574
0.238333	31.610	-0.865566
0.240000	31.624	-0.864545
0.241667	31.639	-0.863573
0.243333	31.653	-0.862801
0.245000	31.667	-0.862150
