Filename	4-chloro-3-nitrophenol
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	4-chloro-3-nitrophenol
proceduresegments	Ramp 10 °C/min to 140.00 °C
[step]
Ramp 10 °C/min to 140.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.417	
0.0100000	30.419	
0.0116667	30.421	
0.0133333	30.423	
0.0150000	30.425	
0.0166667	30.427	
0.0183333	30.429	
0.0200000	30.432	
0.0216667	30.434	
0.0233333	30.438	
0.0250000	30.440	
0.0266667	30.443	
0.0283333	30.445	
0.0300000	30.448	
0.0316667	30.450	
0.0333333	30.452	
0.0350000	30.456	
0.0366667	30.457	
0.0383333	30.460	
0.0400000	30.463	
0.0416667	30.466	
0.0433333	30.468	
0.0450000	30.471	
0.0466667	30.474	
0.0483333	30.477	
0.0500000	30.479	
0.0516667	30.483	
0.0533333	30.487	
0.0550000	30.490	
0.0566667	30.493	
0.0583333	30.498	-0.618189
0.0600000	30.501	-0.618174
0.0616667	30.505	-0.618145
0.0633333	30.509	-0.618105
0.0650000	30.514	-0.618063
0.0666667	30.518	-0.618029
0.0683333	30.522	-0.618002
0.0700000	30.527	-0.617984
0.0716667	30.532	-0.617973
0.0733333	30.537	-0.617983
0.0750000	30.541	-0.618020
0.0766667	30.547	-0.618151
0.0783333	30.553	-0.618590
0.0800000	30.558	-0.619616
0.0816667	30.565	-0.621514
0.0833333	30.571	-0.624933
0.0850000	30.577	-0.629974
0.0866667	30.584	-0.637667
0.0883333	30.590	-0.648802
0.0900000	30.597	-0.660343
0.0916667	30.604	-0.671135
0.0933333	30.612	-0.684206
0.0950000	30.619	-0.695710
0.0966667	30.627	-0.707859
0.0983333	30.634	-0.718370
0.100000	30.642	-0.727711
0.101667	30.650	-0.737940
0.103333	30.657	-0.747850
0.105000	30.666	-0.756214
0.106667	30.674	-0.765267
0.108333	30.683	-0.774713
0.110000	30.692	-0.782238
0.111667	30.702	-0.790519
0.113333	30.711	-0.799992
0.115000	30.720	-0.808740
0.116667	30.729	-0.818531
0.118333	30.740	-0.829283
0.120000	30.749	-0.838031
0.121667	30.759	-0.846477
0.123333	30.768	-0.855423
0.125000	30.780	-0.865522
0.126667	30.790	-0.874695
0.128333	30.800	-0.882803
0.130000	30.810	-0.889855
0.131667	30.821	-0.897905
0.133333	30.831	-0.904128
0.135000	30.842	-0.909276
0.136667	30.854	-0.914031
0.138333	30.864	-0.918119
0.140000	30.876	-0.922235
0.141667	30.887	-0.927682
0.143333	30.897	-0.931233
0.145000	30.908	-0.935751
0.146667	30.921	-0.940529
0.148333	30.933	-0.945351
0.150000	30.944	-0.949522
0.151667	30.956	-0.953070
0.153333	30.968	-0.955804
0.155000	30.978	-0.957673
0.156667	30.992	-0.957634
0.158333	31.003	-0.956337
0.160000	31.015	-0.958062
0.161667	31.028	-0.959188
0.163333	31.040	-0.960172
0.165000	31.052	-0.960661
0.166667	31.064	-0.962730
0.168333	31.076	-0.963391
0.170000	31.088	-0.965074
0.171667	31.101	-0.965243
0.173333	31.112	-0.965205
0.175000	31.126	-0.964813
0.176667	31.138	-0.963259
0.178333	31.151	-0.961550
0.180000	31.164	-0.959827
0.181667	31.176	-0.958348
0.183333	31.189	-0.957196
0.185000	31.201	-0.955962
0.186667	31.215	-0.955298
0.188333	31.227	-0.951117
0.190000	31.240	-0.950074
0.191667	31.253	-0.949896
0.193333	31.266	-0.947412
0.195000	31.279	-0.946036
0.196667	31.292	-0.944730
0.198333	31.306	-0.943350
0.200000	31.318	-0.941436
0.201667	31.332	-0.939255
0.203333	31.346	-0.937378
0.205000	31.359	-0.935720
0.206667	31.371	-0.934274
0.208333	31.385	-0.932257
0.210000	31.399	-0.929957
0.211667	31.412	-0.927630
0.213333	31.425	-0.925548
0.215000	31.438	-0.923459
0.216667	31.452	-0.921441
0.218333	31.464	-0.919318
0.220000	31.479	-0.917076
0.221667	31.491	-0.914897
0.223333	31.505	-0.912748
0.225000	31.520	-0.911088
0.226667	31.533	-0.909190
0.228333	31.546	-0.907376
0.230000	31.560	-0.905257
0.231667	31.574	-0.902977
0.233333	31.588	-0.900501
0.235000	31.602	-0.897632
0.236667	31.615	-0.893810
0.238333	31.629	-0.889646
0.240000	31.644	-0.885782
0.241667	31.658	-0.882092
0.243333	31.671	-0.878862
0.245000	31.686	-0.876155
