Filename	4-methyl-3-nitrobenzoic acid
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	
rundate	5/21/2019
Sample name	4-methyl-3-nitrobenzoic acid
proceduresegments	Ramp 10 °C/min to 210.00 °C
[step]
Ramp 10 °C/min to 210.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.216	
0.0100000	30.219	
0.0116667	30.222	
0.0133333	30.226	
0.0150000	30.229	
0.0166667	30.233	
0.0183333	30.236	
0.0200000	30.240	
0.0216667	30.243	
0.0233333	30.248	
0.0250000	30.252	
0.0266667	30.254	
0.0283333	30.259	
0.0300000	30.261	
0.0316667	30.266	
0.0333333	30.269	
0.0350000	30.273	
0.0366667	30.277	
0.0383333	30.281	
0.0400000	30.284	
0.0416667	30.289	
0.0433333	30.293	
0.0450000	30.296	
0.0466667	30.300	
0.0483333	30.305	
0.0500000	30.309	
0.0516667	30.314	
0.0533333	30.318	
0.0550000	30.322	
0.0566667	30.327	
0.0583333	30.332	-0.227756
0.0600000	30.338	-0.227691
0.0616667	30.342	-0.227157
0.0633333	30.349	-0.225661
0.0650000	30.353	-0.222992
0.0666667	30.359	-0.219632
0.0683333	30.364	-0.216794
0.0700000	30.371	-0.214983
0.0716667	30.375	-0.213176
0.0733333	30.383	-0.211695
0.0750000	30.389	-0.210385
0.0766667	30.395	-0.209208
0.0783333	30.402	-0.208071
0.0800000	30.409	-0.207090
0.0816667	30.416	-0.205860
0.0833333	30.425	-0.205016
0.0850000	30.432	-0.203831
0.0866667	30.439	-0.203147
0.0883333	30.446	-0.202558
0.0900000	30.453	-0.202005
0.0916667	30.462	-0.201241
0.0933333	30.471	-0.200391
0.0950000	30.479	-0.199928
0.0966667	30.487	-0.199390
0.0983333	30.497	-0.199193
0.100000	30.506	-0.198851
0.101667	30.515	-0.198357
0.103333	30.524	-0.197895
0.105000	30.534	-0.197762
0.106667	30.543	-0.197509
0.108333	30.552	-0.197398
0.110000	30.561	-0.197416
0.111667	30.571	-0.197198
0.113333	30.582	-0.197094
0.115000	30.593	-0.196891
0.116667	30.603	-0.196719
0.118333	30.613	-0.196552
0.120000	30.623	-0.196414
0.121667	30.634	-0.196449
0.123333	30.645	-0.196461
0.125000	30.657	-0.196443
0.126667	30.668	-0.196538
0.128333	30.679	-0.196663
0.130000	30.689	-0.196703
0.131667	30.702	-0.196767
0.133333	30.713	-0.196833
0.135000	30.725	-0.196908
0.136667	30.736	-0.196975
0.138333	30.748	-0.197045
0.140000	30.760	-0.197107
0.141667	30.772	-0.197133
0.143333	30.785	-0.197145
0.145000	30.796	-0.197172
0.146667	30.808	-0.197423
0.148333	30.820	-0.197419
0.150000	30.832	-0.197417
0.151667	30.844	-0.197403
0.153333	30.857	-0.197374
0.155000	30.869	-0.197355
0.156667	30.881	-0.197417
0.158333	30.894	-0.197505
0.160000	30.907	-0.197585
0.161667	30.920	-0.197688
0.163333	30.932	-0.197779
0.165000	30.946	-0.197865
0.166667	30.958	-0.197902
0.168333	30.970	-0.197917
0.170000	30.983	-0.197937
0.171667	30.996	-0.197915
0.173333	31.009	-0.197906
0.175000	31.021	-0.197881
0.176667	31.034	-0.197849
0.178333	31.047	-0.197801
0.180000	31.059	-0.197758
0.181667	31.072	-0.197734
0.183333	31.086	-0.197720
0.185000	31.099	-0.197709
0.186667	31.112	-0.197702
0.188333	31.125	-0.197678
0.190000	31.138	-0.197673
0.191667	31.152	-0.197679
0.193333	31.166	-0.197694
0.195000	31.179	-0.197709
0.196667	31.192	-0.197715
0.198333	31.205	-0.197727
0.200000	31.219	-0.197738
0.201667	31.232	-0.197748
0.203333	31.245	-0.197759
0.205000	31.258	-0.197771
0.206667	31.271	-0.197783
0.208333	31.285	-0.197791
0.210000	31.298	-0.197799
0.211667	31.312	-0.197814
0.213333	31.325	-0.197835
0.215000	31.339	-0.197863
0.216667	31.352	-0.197901
0.218333	31.367	-0.197943
0.220000	31.379	-0.197977
0.221667	31.394	-0.198027
0.223333	31.407	-0.198101
0.225000	31.421	-0.198171
0.226667	31.435	-0.198228
0.228333	31.449	-0.198269
0.230000	31.462	-0.198306
0.231667	31.477	-0.198338
0.233333	31.490	-0.198372
0.235000	31.504	-0.198403
0.236667	31.518	-0.198427
0.238333	31.532	-0.198449
0.240000	31.546	-0.198486
0.241667	31.560	-0.198536
0.243333	31.574	-0.198593
0.245000	31.588	-0.198649
