Filename	4-nitrobenzaldehyde
Instrument name	DSC2A-00807 (172.23.165.2)
Operator	Petroc Shelley
rundate	5/3/2019
Sample name	4-nitrobenzaldehyde
proceduresegments	Ramp 10 °C/min to 120.00 °C
[step]
Ramp 10 °C/min to 120.00 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.00000		
1.66667e-3		
3.33333e-3		
5.00000e-3		
6.66667e-3		
8.33333e-3	30.358	
0.0100000	30.361	
0.0116667	30.363	
0.0133333	30.366	
0.0150000	30.369	
0.0166667	30.370	
0.0183333	30.373	
0.0200000	30.376	
0.0216667	30.376	
0.0233333	30.379	
0.0250000	30.381	
0.0266667	30.384	
0.0283333	30.386	
0.0300000	30.389	
0.0316667	30.391	
0.0333333	30.393	
0.0350000	30.396	
0.0366667	30.399	
0.0383333	30.401	
0.0400000	30.404	
0.0416667	30.407	
0.0433333	30.411	
0.0450000	30.413	
0.0466667	30.415	
0.0483333	30.419	
0.0500000	30.422	
0.0516667	30.424	
0.0533333	30.428	
0.0550000	30.431	
0.0566667	30.436	
0.0583333	30.439	-0.302480
0.0600000	30.443	-0.302451
0.0616667	30.449	-0.302234
0.0633333	30.454	-0.301685
0.0650000	30.457	-0.300535
0.0666667	30.461	-0.298927
0.0683333	30.466	-0.296958
0.0700000	30.471	-0.294508
0.0716667	30.476	-0.291837
0.0733333	30.481	-0.289107
0.0750000	30.487	-0.286631
0.0766667	30.493	-0.284554
0.0783333	30.498	-0.282629
0.0800000	30.505	-0.280667
0.0816667	30.511	-0.279404
0.0833333	30.517	-0.278434
0.0850000	30.525	-0.277440
0.0866667	30.531	-0.276680
0.0883333	30.539	-0.276123
0.0900000	30.547	-0.275801
0.0916667	30.554	-0.275658
0.0933333	30.562	-0.275475
0.0950000	30.570	-0.275420
0.0966667	30.578	-0.275421
0.0983333	30.586	-0.275366
0.100000	30.595	-0.275403
0.101667	30.604	-0.275443
0.103333	30.612	-0.275519
0.105000	30.621	-0.275611
0.106667	30.630	-0.275698
0.108333	30.639	-0.275780
0.110000	30.649	-0.275864
0.111667	30.659	-0.275937
0.113333	30.669	-0.276290
0.115000	30.679	-0.276591
0.116667	30.689	-0.276831
0.118333	30.700	-0.277025
0.120000	30.710	-0.277167
0.121667	30.721	-0.277281
0.123333	30.732	-0.277357
0.125000	30.743	-0.277444
0.126667	30.753	-0.277531
0.128333	30.764	-0.277646
0.130000	30.776	-0.277762
0.131667	30.786	-0.277894
0.133333	30.798	-0.278064
0.135000	30.809	-0.278250
0.136667	30.821	-0.278402
0.138333	30.832	-0.278569
0.140000	30.844	-0.278725
0.141667	30.856	-0.278868
0.143333	30.868	-0.278963
0.145000	30.880	-0.279050
0.146667	30.892	-0.279134
0.148333	30.904	-0.279219
0.150000	30.916	-0.279304
0.151667	30.929	-0.279394
0.153333	30.940	-0.279519
0.155000	30.953	-0.279666
0.156667	30.966	-0.279786
0.158333	30.978	-0.279892
0.160000	30.991	-0.279964
0.161667	31.004	-0.280019
0.163333	31.016	-0.280074
0.165000	31.028	-0.280128
0.166667	31.041	-0.280180
0.168333	31.054	-0.280229
0.170000	31.067	-0.280278
0.171667	31.079	-0.280321
0.173333	31.092	-0.280362
0.175000	31.106	-0.280398
0.176667	31.118	-0.280430
0.178333	31.131	-0.280465
0.180000	31.145	-0.280498
0.181667	31.158	-0.280532
0.183333	31.170	-0.280562
0.185000	31.183	-0.280593
0.186667	31.197	-0.280626
0.188333	31.209	-0.280657
0.190000	31.222	-0.280678
0.191667	31.235	-0.280697
0.193333	31.248	-0.280700
0.195000	31.262	-0.280679
0.196667	31.275	-0.280597
0.198333	31.289	-0.280523
0.200000	31.303	-0.280456
0.201667	31.315	-0.280372
0.203333	31.328	-0.280310
0.205000	31.342	-0.280225
0.206667	31.354	-0.280123
0.208333	31.368	-0.279989
0.210000	31.383	-0.279912
0.211667	31.396	-0.279775
0.213333	31.410	-0.279569
0.215000	31.423	-0.279348
0.216667	31.437	-0.279150
0.218333	31.451	-0.279002
0.220000	31.464	-0.278843
0.221667	31.479	-0.278654
0.223333	31.491	-0.278428
0.225000	31.505	-0.278244
0.226667	31.518	-0.278052
0.228333	31.533	-0.277916
0.230000	31.547	-0.277777
0.231667	31.559	-0.277557
0.233333	31.575	-0.277406
0.235000	31.588	-0.277292
0.236667	31.603	-0.277172
0.238333	31.615	-0.277011
0.240000	31.630	-0.276827
0.241667	31.643	-0.276551
0.243333	31.658	-0.276401
0.245000	31.672	-0.276254
